id,address
271,"Sunset Park Recreation Center, 43rd Street at 7th Avenue, Brooklyn, NY"
272,"Dance Room, Highbridge Recreation Center, 2301 Amsterdam Avenue, Manhattan, NY"
273,"Queensbridge Park House, Queensboro Bridge, 41 Rd., 40 Ave. bet. The East River, Vernon Blvd., and 21 St., Queens, NY"
274,"Multi-Use Room, Williamsbridge Oval Recreation Center, 3225 Reservoir Oval East, Bronx, NY"
275,"Queens Public Library - Ozone Park, 92-24 Rockaway Blvd Queens, NY, 11417"
276,"Brooklyn Public Library - Mill Basin, 2385 Ralph Avenue, Brooklyn, NY"
277,"P.S. 003 - The Bedford Village Community School, 50 Jefferson Ave Brooklyn NY 11216"
278,"NYPL- Bloomingdale Library, 150 West 100th Street, Manhattan, NY"
279,"NYC Department of Health and Mental Hygiene- Bedford-Stuyvesant Center, 485 Throop Ave Brooklyn, New York United States, 11221, Brooklyn"
280,"HANAC Corona Beacon at P.S. 19Q, 40-10 99th St, Corona, NY 11368, Queens"
281,"Multi-Use Room - Full, A.R.R.O.W. Field House, 35-30 35th Street, Queens, NY"
282,"Pier 6, Brooklyn Bridge Park, Atlantic Avenue and Furman Street, Brooklyn, NY"
283,"Multi-Use Room, Greenbelt Recreation Center, 501 Brielle Avenue, Staten Island, NY"
284,"Merchant's House Museum, 29 East 4th Street, Manhattan, NY"
285,"Randall's Island Connector, Randall's Island Park, East River and Harlem River, Manhattan, NY"
286,"Multipurpose Room, Betsy Head Park, Blake Ave., Dumont Ave. bet. Thomas Boyland St. and Bristol St. , Brooklyn, NY"
287,"Athletic Courts, Torsney Playground, Skillman Ave. bet. 41 St. and 43 St., Queens, NY"
288,"Pure Life Movement Studio, 7217 13th Ave, Brooklyn, NY 11228"
289,"Sunnyside Community Services, 43-31 39th St, Queens, NY"
290,"Brooklyn Public Library - Kings Highway Branch, 2115 Ocean Ave Brooklyn, New York United States, 11229"
291,"Baychester Library, 2049 Asch Loop North, Bronx, NY"
292,"Multi-Use Room, Williamsbridge Oval Recreation Center, 3225 Reservoir Oval East, Bronx, NY"
