id,address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
102,"Calvert Vaux Park, New York, NY",40.712895,-74.00846,0.85,street_center,"Park Pl",,"New York, NY 10007",,"Park Pl",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
103,"Fairview Park, New York, NY",40.857077,-73.930989,0.93,street_center,"Fairview Ave",,"New York, NY 10040",,"Fairview Ave",,,"New York",NY,"New York County",10040,US,"TIGER/Line® dataset from the US Census Bureau"
104,"Fairview Park, New York, NY",40.857077,-73.930989,0.93,street_center,"Fairview Ave",,"New York, NY 10040",,"Fairview Ave",,,"New York",NY,"New York County",10040,US,"TIGER/Line® dataset from the US Census Bureau"
105,"Riverside Park, New York, NY",40.8657,-73.929166,0.93,street_center,"Riverside Dr",,"New York, NY 10034",,"Riverside Dr",,,"New York",NY,"New York County",10034,US,"TIGER/Line® dataset from the US Census Bureau"
106,"Blood Root Valley, New York, NY",40.715056,-74.006717,0.83,street_center,"Reade St",,"New York, NY 10007",,"Reade St",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
107,"Highland Park, New York, NY",40.712895,-74.00846,0.93,street_center,"Park Pl",,"New York, NY 10007",,"Park Pl",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
108,"Peter's Field, New York, NY",40.735862,-74.001138,0.88,street_center,"Perry St",,"New York, NY 10014",,"Perry St",,,"New York",NY,"New York County",10014,US,"TIGER/Line® dataset from the US Census Bureau"
109,"Booker T. Washington Playground, New York, NY",40.704489,-73.933068,0.81,street_center,"Bogart St",,"Brooklyn, NY 11206",,"Bogart St",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
110,"BLEEKER STREET between CARMINE STREET and LEROY STREET, New York, NY",40.730922,-74.002818,1,intersection,"Bleecker St and Leroy St",,"New York, NY 10014",,"Bleecker St",,,"New York",NY,"New York County",10014,US,"© OpenStreetMap contributors"
111,"Astoria Park, New York, NY",40.729964,-73.992134,0.93,street_center,"Astor Pl",,"New York, NY 10003",,"Astor Pl",,,"New York",NY,"New York County",10003,US,"TIGER/Line® dataset from the US Census Bureau"
